Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position
A,0.43553145495392587,57.997810785708964,-10.081140906006102,-2.0233921448889483,-2.3990149938061904,-0.1494030842990539
B,12.1559980616394,-23.66986549435516,-8.911563283751505,-9.130150852469466,-9.041963685511787,-0.6095568006521845
C,18.49986251192047,-64.93131922497894,-9.60298059797838,-12.676896218119719,-12.442195703066336,-0.9887923182329855
E,31.68008180728047,-145.08173676504808,-11.340085404059174,-19.504285266333035,-19.131088223805754,-1.7640594200093784
D,25.989116576041074,-105.05467217933735,-9.932456760330435,-16.041601047569394,-15.875629832406624,-1.3055426604784683
221,9.353447665761408,-8.10224418539807,-8.76553794532615,-7.8179765154752525,-7.719761468560374,-0.4836033859060799
931,12.013773891305396,-26.612826996641253,-8.895352493157828,-9.423723377296213,-9.22675642325295,-0.6342200086582093
934,32.70473190343631,-15.576300298866299,-10.74656190741984,-6.951794969568718,-10.489430564850338,-0.5720478157701345
222,21.577576953152203,12.957639334669707,-10.588871052502226,-4.946330495610352,-7.4863342610772365,-0.40753708304970315
932,26.7192396961161,43.20563092927933,-11.275456921522538,-1.6763411603324296,-5.944504489427444,-0.18224941129263716
933,-10.781844161559198,56.58745572403709,-8.362218654809247,-2.931137788394424,-1.4041438094727956,-0.059839512180832166
223,-4.7667747713334245,36.80386285353174,-8.281769844778998,-4.437677172585932,-3.3212918536386202,-0.16678919905967848
930,20.65442589367031,-116.31638811291133,-11.251330701785315,-17.46886942155709,-16.12236786146409,-1.6047455578922039
218,24.680358172039554,-151.41709698501285,-9.469610192766,-20.606595778095762,-18.87649306381893,-1.6614135945883997
929,11.189157118405586,-126.9792881554692,-9.543663437444316,-19.15163302061066,-15.92152528851755,-1.5804047568424975
219,48.26323700149726,-127.8997474965825,-11.876180852549634,-16.73054452820423,-19.578216814001514,-1.5313451898686612
220,-1.4764958349322694,-69.47578253710252,-7.401613859333687,-14.479072656361273,-10.80974827082202,-0.9476841422344153
A,0.7448079009620052,-95.88775446328137,21.25868033749736,-2.029938370365892,-2.3958834735659265,-0.06471958402073641
B,-12.120920317608784,-38.99438907292291,-6.024260130494171,-9.131112128565814,-9.019569303148868,-0.6716557221904741
C,-19.35071844400828,-10.542587223257984,-20.174723975609265,-12.644565830632377,-12.448782899054855,-1.0476464997213886
D,-26.76011984691089,17.596671723732946,-33.66416450908229,-16.073962300631532,-15.859446586600459,-1.349258646871796
E,-33.4299049411192,45.39537813725763,-47.04788591216906,-19.516017393847683,-19.146735305001258,-1.6539880556049829
931,-12.542896464800684,-36.49715335870501,-6.7474111790746285,-9.430608368031226,-9.278552368060087,-0.631619268451362
218,-28.0605357620665,50.04384706264694,-49.14490174745613,-20.59661622806964,-18.857173529770996,-1.6723891023689266
219,-45.54800011314941,32.35293502876423,-40.95486750981249,-16.706453164765698,-19.57367381571712,-1.5672367014011384
940,-51.73182737745237,-0.9051294167866196,-23.195735414083003,-11.383717634689198,-17.415962667891183,-0.9861589722873125
934,-28.087909740804992,-45.34589731028426,-2.6833776676165315,-6.9496743883496634,-10.513499628146953,-0.5970144869602082
222,-17.794217717435274,-64.68375445292992,7.363692430509098,-4.965201836908739,-7.477696624072013,-0.2707269379809363
221,-9.330257017283019,-49.69732372354638,-0.41857935118392514,-7.801053114620211,-7.712471489281335,-0.49052485222338005
932,-20.325444196436774,-86.75224859200364,16.7848802571167,-1.6743002307302266,-5.910018081666697,-0.21275729282166278
223,3.8151988782746673,-80.74712676820405,14.043618230060114,-4.430222840399414,-3.320795413328955,-0.20702275649412538
933,9.339210219341279,-94.40079386318598,20.29402695160825,-2.933098975322333,-1.4257378916671994,-0.09813623925021231
929,-16.275402141120136,33.37368790907432,-41.88091243512795,-19.184893462710328,-15.904502748104424,-1.5808888155847338
A,-1.605039330395651,-141.59165951400723,-11.068142025934613,-2.030978031236307,-2.3894262666928427,-0.06497717986974094
E,15.399166229263058,58.13780538272768,-9.779690379018762,-19.493667902568653,-19.13823679482765,-1.6870529917955528
B,6.234241514254826,-61.57117273742325,-9.369727366452361,-9.133084369439988,-9.019103818533221,-0.57998575493823
C,9.226871054202693,-21.01076558434042,-10.096017839062622,-12.626871372156817,-12.455959682169102,-1.0250213161872306
D,12.009631323175354,18.909063405469414,-9.781251099011724,-16.06209944363474,-15.852932968079976,-1.3377973765349103
929,31.252303591874977,36.36219702973304,-9.259233871644067,-19.197373821877587,-15.89502859426741,-1.5608610561217713
933,9.391878255456058,-142.60407888200078,-11.142836834236737,-2.9433777809742256,-1.4168609299517885,-0.14650985893832424
931,6.7244946484790304,-58.330367942741255,-9.2432675086923,-9.436965385194847,-9.273845057783818,-0.5951664714849478
221,5.326813482277196,-76.85948280560781,-9.638794694216417,-7.830151357409632,-7.705271306557607,-0.4792570991685192
923,-23.15622138964457,-121.46363621518577,-12.414141541056274,-1.6719659354793344,-5.938471076642612,-0.23507051052851913
930,19.23819251521074,28.354507861594094,-11.078014895943303,-17.45363366642263,-16.12870194965319,-1.625336475524183
219,-4.391020814346322,45.72599914696263,-11.331822829596513,-16.69921392507793,-19.595694620855838,-1.62576181216306
940,-25.47412832082527,2.9942004461518237,-10.01724067194558,-11.403928906206215,-17.411501237382623,-0.9587931363072496
223,8.222092152978634,-122.70719246575278,-10.377455940129916,-4.431180049707113,-3.3155519520697436,-0.2102872807795939
934,-15.518605059125097,-64.32052504526258,-10.592522023220335,-6.9346420400250635,-10.510242681482223,-0.544508134694125
222,-11.367545236126501,-93.8436600569675,-11.054715564793836,-4.952723911695197,-7.500423228539658,-0.38651054851237965
218,23.79200653354237,62.51797728939495,-8.708759026675294,-20.612915758086046,-18.864673934665948,-1.6560206838154805
A,-5.684062800493259,15.914635011583009,-11.116901683636087,-2.0298382134421376,-2.3994453003260614,-0.17852670072184695
B,-2.5609499389727737,-23.9661705327863,1.5863912540907217,-9.139973325131885,-9.005038684775922,-0.5972669210560811
C,-0.4092045386181559,-44.43686784951301,6.977496454541325,-12.627591633040247,-12.452719090938983,-1.0466454016841145
D,1.861035542055631,-64.34575061746297,12.823351589992267,-16.038491625170682,-15.860371822265407,-1.350252929001294
E,3.466399706197092,-84.18373672911034,18.341274432650046,-19.508774073987382,-19.125679647753543,-1.7308089372040878
221,-3.2291474000988014,-16.259897286948245,-0.310067613823113,-7.816520863070074,-7.737755116226341,-0.39682233590237603
933,-11.517027222379575,15.725086025056369,-10.377195506326748,-2.9523140974125206,-1.3988988761112666,-0.13728549288726288
223,-9.014070277947093,6.157947712359179,-7.111546483498819,-4.422599235308185,-3.3087596350183683,-0.1594890171316492
932,7.302759671956709,7.713103283781488,-9.26017949071026,-1.666100018835483,-5.9616060126408765,-0.2092642791393713
222,3.567800517302198,-6.640144085685422,-4.107528829725046,-4.96467222111366,-7.4821420305372435,-0.3205404295725347
931,-2.4886248443922394,-25.565740206272626,2.097655923019873,-9.432872643044774,-9.26047472737933,-0.6146215609938808
934,8.34092039305501,-21.02675283649328,-0.32120843933428844,-6.947942972813016,-10.494620547821235,-0.5791154835036596
220,-10.931440420875132,-45.675651140583525,8.79171808415856,-14.475959146104877,-10.7909037501901,-0.9409352435064307
929,-6.589578310587669,-74.52753206731536,16.290117739245247,-19.196387395373886,-15.883110400690752,-1.572708655078444
930,-0.974765672835315,-69.83727636469968,14.37645539199535,-17.471399590796462,-16.172161978461297,-1.50818078258236
218,-0.33444649637534724,-86.90699526893815,19.661901372334516,-20.603338490569676,-18.867896872572743,-1.732565240054555
219,12.592408658362837,-76.46029073161942,15.434148639710221,-16.70343666624848,-19.58909145730841,-1.573906161110442
D,-10.198829657412274,48.45692824760926,-6.513603685498258,-16.029126980127568,-15.875899395574804,-1.3070094120178921
C,-8.159604994194847,26.99141896229054,-6.67277620256705,-12.6405505008535,-12.443918269770796,-1.030101962775114
B,-6.537844636385193,5.107601148213356,-6.136182271267984,-9.116132834685772,-9.040919664293959,-0.6030744954527564
934,-17.752271631263177,1.7610731107595163,-4.996023580492119,-6.921108415185034,-10.497214130352525,-0.5718408743135928
220,2.643394491109879,28.581785156613236,-7.453551287811011,-14.472976494294096,-10.814831747110484,-0.9694283836230455
222,-13.096350710328771,-13.648307963030891,-5.366857626474685,-4.94951945841227,-7.484031694779246,-0.3550976984636691
219,-20.907529809041588,61.38881379453765,-5.73104779362216,-16.701979731823513,-19.57346041771595,-1.5439332292821113
930,-6.953969905357421,54.28382167543605,-7.975208302046381,-17.5043463952782,-16.122576454744024,-1.6276484020638653
929,-1.2360688942322668,59.37861712854191,-7.897634848173094,-19.201155928369687,-15.883503782018629,-1.5387263467726626
931,-6.477322098958461,6.883736775222781,-6.132663162968051,-9.429572666030785,-9.285657828386608,-0.6227446360083322
221,-5.713122341016842,-2.9241290147624994,-5.841956089654924,-7.85509424622476,-7.75545356877314,-0.4193102872942791
932,-17.082481443648337,-29.438247580749074,-5.246581133621843,-1.6658053554808139,-5.898595071383456,-0.22756903573602028
223,-0.3861965345337747,-27.4023360911976,-6.675861825774741,-4.42672075981024,-3.3144584896314253,-0.17811303845859006
A,-3.8969979117021167,-4.563850265048084,-8.065162020103015,-2.0163099149042556,-2.373236890735909,-0.16360720757682
B,0.6266142018876747,51.7365646147086,-7.843383794913663,-9.135948491308518,-9.0506039034273,-0.5572558568493688
E,6.076090099788936,135.29493725482766,-11.409507366516506,-19.4982525055372,-19.11019649675635,-1.803031582403512
D,3.727557064932811,107.90264255093254,-9.749273902949195,-16.03490965424957,-15.877560036452625,-1.3050604242820179
C,2.35523027365314,80.12641746855397,-9.1687553553605,-12.639708334321357,-12.482825505740777,-0.9991044700139794
934,-14.49809071798823,49.42430445001224,-8.73977812475658,-6.926510207035563,-10.515244519665982,-0.5666813203334409
221,0.17783288417347762,40.918345222012256,-7.877854254561733,-7.82166526741198,-7.7186075801324785,-0.4837997254132185
218,11.625571600437155,138.50962902771127,-10.415299997093527,-20.591118265376846,-18.875190530498408,-1.701269754440975
219,-7.580723502988201,126.22932251621185,-11.144809952267572,-16.70456576563945,-19.53923375138364,-1.5774051635321156
931,1.0062796761649841,53.91507244956084,-7.988521056895405,-9.435869612753967,-9.285257616077198,-0.6007673578669896
222,-10.835842521152683,28.50140272712453,-7.151474564258027,-4.981236852622547,-7.410992177913637,-0.1776422396616386
923,-19.286636573876297,9.39663118569508,-9.184010097956683,-1.6607826106683594,-5.951003801392663,-0.3228448459365192
223,2.5659375387092096,8.85924019289312,-7.759970430273489,-4.403978586907153,-3.3385443382764626,-0.2598848625518977
220,16.817108743340548,80.26354228113884,-7.812357851752861,-14.516934793012771,-10.816730830902543,-0.8894265247815684
929,17.351453987303085,120.41123033817468,-10.160351850568437,-19.222705202382066,-15.892981221259765,-1.5797234186139109
A,-1.047099762097833,-36.65592193811657,-13.005221384938336,-2.016780998034535,-2.387960406346479,-0.14075073671565308
B,-9.697934188779904,24.017894779837732,-7.638643250498639,-9.107745116307736,-9.045705810363904,-0.6071496839686465
E,-24.245615056553945,114.49935152151765,-2.727437904236443,-19.485378409711185,-19.140809438565004,-1.7935070339360042
D,-19.849068764597035,84.73925292522696,-4.006523389197497,-16.041799180085565,-15.875734927432896,-1.3519634796526636
C,-14.577994757485577,54.82710994039547,-6.232898247930559,-12.644016150816105,-12.469607991188013,-1.0526462143729673
221,-7.543085976036075,12.630823369041384,-8.134296913300833,-7.83310743968958,-7.73516254751128,-0.43748289785918903
931,-9.681596704371856,26.64694999048197,-6.9029833088216455,-9.458280488833273,-9.291151383809385,-0.5470467136533248
218,-18.79179314465031,119.25771708125008,-1.4134696324084335,-20.61387856132736,-18.88307803848903,-1.6679845347628028
219,-36.155357312704936,101.5507660606172,-2.3137657244955054,-16.742091847140557,-19.522924418119636,-1.4988917132931432
929,-8.507295971126709,101.21913869139097,-3.546961477138951,-19.20041651463585,-15.897884336243399,-1.5859879630044103
930,-16.19379484374173,93.05445248231234,-4.612181442307362,-17.434426928427325,-16.141766334593452,-1.608827436153358
222,-16.19679447869992,-3.3532611890201127,-8.526292220723516,-4.984206703984225,-7.410890056589623,-0.19363906125044994
223,2.888392505260204,-21.015398177674175,-11.2333814149118,-4.4124607230385,-3.3124417713642242,-0.17790692940989317
932,-20.824588452849362,-25.58062778223703,-12.442699354384388,-1.6463637672321334,-5.951200236634627,-0.3566820290996624
A,-5.8760610693399125,8.790049594544673,-10.1296300912636,-2.0166027813961307,-2.3682374453050237,-0.08219165414685592
B,-3.415059671656194,-55.02360107027989,13.637941731821087,-9.112634551853034,-9.031181464861607,-0.6157866164915924
C,-1.5673947175078866,-87.84555814664401,24.559326145092854,-12.654391534865933,-12.46864440268889,-1.0631962442186556
D,0.6771085164010007,-119.27717611235336,36.659774428991135,-16.06838111767774,-15.877347164089306,-1.2780338402250484
E,2.1014204014435083,-150.81863419252684,46.96751385607126,-19.497397246492174,-19.135393688272643,-1.7313478896066776
221,-4.292923704685289,-42.91092422432107,9.705233187575628,-7.828032706436791,-7.74543538505744,-0.4371652615520063
931,-3.556582094989536,-57.62401452044774,14.692951791330108,-9.428109463180444,-9.280138454758056,-0.6253375335642293
934,14.224474972459506,-50.43630060207387,12.605143608700406,-6.951657093769742,-10.496482785347872,-0.55159782985081
222,7.4451048487649825,-27.476498282696152,4.112423986190174,-4.956197678498507,-7.467301551648954,-0.33114101205849855
932,14.447538391293916,-4.815006239532563,-4.983355005083386,-1.6674763507127237,-5.922491387206181,-0.2553645243642331
223,-11.91431555237644,-7.230518677706021,-4.224099246700978,-4.42263327636176,-3.3222690697166075,-0.2007432979300386
219,17.154631572733706,-138.56309511086593,43.42011729031742,-16.713450277861988,-19.567215365251364,-1.550187230432706
930,-4.015616448942148,-127.95575943644806,37.92070612865661,-17.426576997531484,-16.163575883951697,-1.5914208113116493
929,-13.768477379326045,-135.37488868991431,41.1692052131314,-19.2171447028134,-15.877361603167676,-1.5544455995418556
218,-4.499580302291631,-154.95005815719264,48.64983392169521,-20.59954965354839,-18.845037511032036,-1.7232425616473988
A,-8.344696022056596,-7.434379198327573,-9.128111800127646,-2.0237817806816314,-2.3582146485774094,-0.03782368824222315
B,-59.775655680600494,-43.71450722266026,-5.7480141793123085,-9.114889364095255,-9.037923492481989,-0.595651655518445
C,-85.83207705403967,-62.591888388534066,-4.490746521080644,-12.69080050590868,-12.492620899743049,-0.9532623813527114
D,-110.48504643977513,-81.15444944198482,-3.2420879560168783,-16.059264306972576,-15.869260948372096,-1.2895298715521941
E,-135.59671016564025,-98.92346958997463,-2.329245495085582,-19.511228063779583,-19.13034763825033,-1.6759185832627026
931,-61.97580166142651,-44.86350232811339,-5.557198033250736,-9.427749531973031,-9.262603763574056,-0.6083768552886839
221,-50.34728844740269,-36.53938731754969,-6.237029520121459,-7.8281862638459065,-7.7347958101748535,-0.46805454833752913
223,-24.716658136448263,-11.19156124021007,-8.467631853534652,-4.448805439432675,-3.288370062133314,-0.2014793670309869
218,-142.1591345991956,-96.24641407355537,-2.9416428300511006,-20.565209687131812,-18.853258541857905,-1.8346819972100865
