Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,Size
A,-22.27896307,16.143089298777305,-11.16807369,-0.657945267,-1.100943383,0.009880325,
B,-2.877552683,8.504159969055216,-9.084342042,-3.928949658,-4.536476162,-0.974203676,
C,9.943444251,-25.89353563,0.23608998783432542,-12.64880225,-4.27826374,-1.729182749,
D,1.2473720717725099,-47.39404271,3.593006030991716,-16.56415388,-0.53786956,-1.909852805,
E,-0.853546177,-64.82207489,9.953771554,-20.41514287,1.3711612816901262,-1.511176945,
F,4.249555941867363,-85.30716017,11.961113593607806,-25.13284894,2.136061184,-2.60457837,
761,-5.271340796,-49.51218807,4.360769199,-16.52725931,1.0157007583437014,-1.552512263,
765,-24.92858695,10.695993464064598,-9.997159917,-1.638459258,-0.066075093,0.055767947944419305,
759,7.407319084278996,-76.90680761,10.04503650194233,-23.53749626,0.7383855167885987,-2.653336904,
763,11.835004708842066,-5.027674196,-4.545874667,-8.20488408,-6.493734114,-1.560564953,
764,17.435263277545303,-0.725603583,-7.545071874,-7.554190642,-8.006091357,-2.220718516,
760,2.079088838094055,-63.70023655,9.630536760814664,-20.39919136,0.65621579,-1.656598911,
A,18.23562050369258,-15.45455934,-3.815342448,-0.654609364,-1.09245362,0.019397475,
B,1.8483819739002376,-2.657109247,-7.035459501,-3.928594043,-4.541514415,-0.925784492,
C,-0.213324666,34.09991444818028,-16.6930238,-12.65162647,-4.264184806,-1.796489236,
D,14.46163941342131,51.26902767655027,-22.92422681,-16.54502305,-0.525271435,-1.914831504,
E,21.774473196868968,68.31614683233113,-25.80127339,-20.40671324,1.3991162719250005,-1.605379029,
765,22.304273465082147,-11.10609999,-5.16926245,-1.627398429,-0.076080909,0.054633097360655025,
763,-8.272903172,15.011749647975712,-10.81015569,-8.232234192,-6.50939802,-1.543208734,
939,-11.20537853,8.018959958171731,-9.764650317,-6.651840139,-7.277545716,-1.697324196,
764,-14.94006842,11.329141611756551,-12.05956022,-7.5421887,-7.990179949,-2.246574663,
761,21.31443200204954,51.65036813091424,-22.92658616,-16.52595232,1.0258719416408149,-1.606420533,
936,29.20882639341457,71.44562595242468,-26.56161452,-21.02972122,3.1387801301281515,-1.338453603,
938,12.764188512236766,79.66877712056053,-30.6099388,-23.29420897,-0.324544554,-2.642065516,
760,18.68606188,68.07537843759839,-25.87795496,-20.40237733,0.7029596687115812,-1.764309247,
A,41.859161318598034,-87.47849271,-10.63007077,-0.64902551,-1.087590477,-0.001748368,
B,10.945426015060846,-63.34796519,-9.86139965,-3.92689225,-4.529165028,-1.007886888,
C,5.929409104,7.150424477633025,-9.728626247,-12.65324055,-4.30136352,-1.660252941,
F,46.50967071590551,112.77534139632436,-21.36869415,-25.14220074,2.1466287266873536,-2.625759063,
E,45.41320850353139,73.55264233603047,-14.20607495,-20.3970493,1.3441053994986714,-1.510246078,
939,-13.71736129,-43.25951392,-8.172019565,-6.655716789,-7.296170638,-1.687609614,
761,45.309563494944896,42.51095027761638,-15.8282226,-16.56157986,1.0121028472896747,-1.479503046,
759,36.41867581723892,98.66031682131043,-19.19355733,-23.52479981,0.7076153426985333,-2.561421937,
938,28.52764166,96.03489716079817,-19.7799447,-23.27254017,-0.251935952,-2.847495399,
764,-20.77993452,-36.45213992,-10.8424354,-7.535544161,-7.984556739,-2.268508895,
765,49.32503726518283,-78.72409699,-11.54751842,-1.644733176,-0.062951329,0.046097823,
A,-9.084512703,31.249691027474015,-18.02220713,-0.657102269,-1.084943977,-0.009699097,
B,-5.764612165,77.51776886386851,-23.15748208,-3.926222203,-4.522839139,-0.948885885,
C,60.62935259965476,129.56182870161715,-26.30318477,-12.63714685,-4.289645855,-1.716972153,
765,4.345441346954899,29.668645866767278,-17.51653292,-1.632096467,-0.079551991,0.060104793692858705,
939,-2.2773334,115.21037703305217,-27.34316685,-6.652120796,-7.272080506,-1.714018557,
761,122.30067766582671,113.92760644840286,-25.76357904,-16.55617238,1.007929987525415,-1.506273314,
764,-0.061176416,126.6115409,-31.68614208,-7.553016777,-8.005735408,-2.262814102,
A,24.082889574864385,-42.59387589,-7.758162118,-0.656879019,-1.091958166,0.001317177,
B,4.915445854282649,-35.34122841,-7.265367106,-3.926224129,-4.521171724,-1.007298267,
C,-8.703891695,-0.897148389,-6.155059819,-12.65981948,-4.344138337,-1.612356841,
E,0.7994893592654181,38.54607015002504,-8.166667946,-20.38907434,1.3479537120433058,-1.609170414,
765,26.48624230561746,-37.06794738,-7.969426271,-1.647772122,-0.07113196,0.079786973,
761,5.574768029499848,23.02335108141025,-9.161175259,-16.56031903,1.0054916627298394,-1.528336909,
762,0.44190188589645363,-12.51397807,-6.119814497,-9.326361073,-3.46097716,-1.051714408,
764,-15.22316097,-26.81142539,-7.571625827,-7.539936583,-7.998459563,-2.257776273,
939,-10.44935131,-29.17000943,-6.574501927,-6.632076504,-7.253211691,-1.748789613,
936,7.189141310443495,44.026773455627406,-8.860871051,-21.01019585,3.2344861811370293,-1.411238136,
A,-5.309271821,4.952898975466546,-9.383269285,-0.653096788,-1.10228923,0.007102536,
B,-6.958110366,29.407457345451146,-12.31737044,-3.924245341,-4.534552621,-0.981343914,
C,24.056123740978915,61.36553957037159,-15.53318403,-12.65812293,-4.322193545,-1.628207812,
765,1.9541020433909013,5.035216321243888,-9.656273846,-1.640973,-0.075384617,0.067388217,
764,-7.57225871,55.347714344509875,-16.81679275,-7.545553654,-7.982985589,-2.282261513,
939,-7.827421685,49.23202493901953,-14.45293248,-6.639083125,-7.256053861,-1.727891026,
